query,name,category,sub_category,sub_genre,productDescription,all_text,scores_model_mxbai-rerank-xsmall-v1,scores_model_mxbai-rerank-large-v1,scores_model_mxbai-rerank-base-v1,scores_model_MiniLM,scores_model_jina-reranker-v1-turbo-en,scores_model_jina-reranker-v1-tiny-en,scores_model_bge-reranker-base,scores_flashrerank_zephyr7b,Score_Type
french door fridge,580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX,Home Appliances,Refrigerators,French Door,"Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.","580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX Home Appliances Refrigerators French Door Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.",0.9612679,0.97485006,0.9758877,8.019138,0.7825508,0.9366773,0.99894315,0.073469387755102,Top 10 Highest
solo microwave ovens,"23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.","23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.",0.9609602,0.9821217,0.9430137,8.3209305,0.80086887,0.94895774,0.999337,0.091743119266055,Top 10 Highest
french door fridge,550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9,Home Appliances,Refrigerators,French Door,"Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.","550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9 Home Appliances Refrigerators French Door Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.",0.9553566,0.97260284,0.9893506,7.872223,0.75218517,0.9392783,0.998735,0.0753138075313807,Top 10 Highest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
french door fridge,650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL,Home Appliances,Refrigerators,French Door,"Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.","650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL Home Appliances Refrigerators French Door Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.",0.94597644,0.9744846,0.96774596,7.726576,0.79017156,0.9305814,0.99843615,0.0697674418604651,Top 10 Highest
solo microwave ovens,"23L Dual Dial, Solo Microwave Oven, MS23F300EEK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven MS23F300EEK. Explore 23L Solo Microwave Oven including prices, offers, specifications & shop at Samsung India.","23L Dual Dial, Solo Microwave Oven, MS23F300EEK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23F300EEK. Explore 23L Solo Microwave Oven including prices, offers, specifications & shop at Samsung India.",0.9428467,0.95946807,0.9478879,8.253795,0.77033454,0.9470952,0.9985581,0.0896860986547085,Top 10 Highest
solo microwave ovens,"23L Healthy Steam Cook, Solo Microwave Oven, MS23T5012UK",Home Appliances,Microwave Ovens,Solo,"Buy Solo MWO with Healty Steam (MS23T5012UK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.","23L Healthy Steam Cook, Solo Microwave Oven, MS23T5012UK Home Appliances Microwave Ovens Solo Buy Solo MWO with Healty Steam (MS23T5012UK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.",0.9425689,0.8877563,0.88323545,7.8482924,0.78786284,0.9466691,0.99637115,0.0930232558139534,Top 10 Highest
french door fridge,702 L Beverage Center French Door Refrigerator RF70A967FB1,Home Appliances,Refrigerators,French Door,"Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.","702 L Beverage Center French Door Refrigerator RF70A967FB1 Home Appliances Refrigerators French Door Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.",0.93688494,0.9685264,0.9488725,7.986796,0.7896348,0.9232953,0.99951625,0.0705882352941176,Top 10 Highest
french door fridge,620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377,Home Appliances,Refrigerators,French Door,"Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.","620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377 Home Appliances Refrigerators French Door Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.",0.92696756,0.97577715,0.9630701,7.8239946,0.81038135,0.93959075,0.9981686,0.0786026200873362,Top 10 Highest
solo microwave ovens,"20L Full Glass Door, Solo Microwave Oven, MS20A3010AL",Home Appliances,Microwave Ovens,Solo,"Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.","20L Full Glass Door, Solo Microwave Oven, MS20A3010AL Home Appliances Microwave Ovens Solo Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.",0.9216567,0.96256495,0.9219758,8.443484,0.7801122,0.95147794,0.9991725,0.0925925925925925,Top 10 Highest
3 door fridge with water dispenser,236 L Convertible Freezer Double Door Refrigerator RT28C3733S8,Home Appliances,Refrigerators,Double Door,"Explore the benefits, features & offers of 236L Convertible Freezer Double Door Refrigerator RT28C3733S8/HL Buy best Refrigerators for you at Samsung India.","236 L Convertible Freezer Double Door Refrigerator RT28C3733S8 Home Appliances Refrigerators Double Door Explore the benefits, features & offers of 236L Convertible Freezer Double Door Refrigerator RT28C3733S8/HL Buy best Refrigerators for you at Samsung India.",0.021901764,0.009026522,0.027019534,-4.566035,0.10625161,0.34845933,0.0048740716,0.1302681992337164,Top 10 Lowest
3 door fridge with water dispenser,256 L Convertible Freezer Double Door Refrigerator RT30C3733BX,Home Appliances,Refrigerators,Double Door,"RT30C3733 Top Mount Freezer with Convertible Freezer (RT30C3733BX/HL) - Explore the benefits, features & offers of this product. Know more and buy best Refrigerators for you at Samsung India.","256 L Convertible Freezer Double Door Refrigerator RT30C3733BX Home Appliances Refrigerators Double Door RT30C3733 Top Mount Freezer with Convertible Freezer (RT30C3733BX/HL) - Explore the benefits, features & offers of this product. Know more and buy best Refrigerators for you at Samsung India.",0.02469815,0.011087238,0.024432573,-3.2517648,0.11156929,0.34849563,0.0037000405,0.1148648648648648,Top 10 Lowest
3 door fridge with water dispenser,363 L Twin Cooling Plus™ Double Door Refrigerator RT39C553EBX,Home Appliances,Refrigerators,Double Door,"363 L Double Door Refrigerator online in various size, Colors & designs at best prices RT39C553EBX/HL Explore Specs & shop best refrigerators  at Samsung India.","363 L Twin Cooling Plus™ Double Door Refrigerator RT39C553EBX Home Appliances Refrigerators Double Door 363 L Double Door Refrigerator online in various size, Colors & designs at best prices RT39C553EBX/HL Explore Specs & shop best refrigerators  at Samsung India.",0.024828339,0.012218654,0.030475836,-2.8534129,0.18410978,0.5246895,0.0068733995,0.1287878787878787,Top 10 Lowest
3 door fridge with water dispenser,322 L Twin Cooling Plus™ Double Door Refrigerator RT37C4523S8,Home Appliances,Refrigerators,Double Door,"Explore the benefits, features & offers of 322L Convertible 5in1 Double Door Refrigerator RT37C4523S8/HL Buy best Refrigerators for you at Samsung India.","322 L Twin Cooling Plus™ Double Door Refrigerator RT37C4523S8 Home Appliances Refrigerators Double Door Explore the benefits, features & offers of 322L Convertible 5in1 Double Door Refrigerator RT37C4523S8/HL Buy best Refrigerators for you at Samsung India.",0.025331322,0.013693631,0.03948129,-3.617762,0.11309198,0.36487255,0.0054313024,0.1322957198443579,Top 10 Lowest
3 door fridge with water dispenser,301 L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1,Home Appliances,Refrigerators,Double Door,"Explore the benefits, features & offers of 301L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1/HL Buy best Refrigerators for you at Samsung India.","301 L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1 Home Appliances Refrigerators Double Door Explore the benefits, features & offers of 301L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1/HL Buy best Refrigerators for you at Samsung India.",0.025924874,0.01517246,0.031530198,-2.8757353,0.103301905,0.3562849,0.0031341445,0.1312741312741312,Top 10 Lowest
3 door fridge with water dispenser,224 L Curd Maestro™ Double Door Refrigerator RT28C3C32RZ,Home Appliances,Refrigerators,Double Door,"224 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt28C3C32Rz/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.","224 L Curd Maestro™ Double Door Refrigerator RT28C3C32RZ Home Appliances Refrigerators Double Door 224 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt28C3C32Rz/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.",0.026114225,0.01442665,0.028732626,-4.6175823,0.14528711,0.5003918,0.004992684,0.1312741312741312,Top 10 Lowest
3 door fridge with water dispenser,236 L Digital Inverter Technology Double Door Refrigerator RT28C3053S8,Home Appliances,Refrigerators,Double Door,"236 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt28C3053S8/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.","236 L Digital Inverter Technology Double Door Refrigerator RT28C3053S8 Home Appliances Refrigerators Double Door 236 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt28C3053S8/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.",0.0265074,0.014252574,0.033260453,-4.575179,0.10820487,0.36283195,0.0026688564,0.1245421245421245,Top 10 Lowest
3 door fridge with water dispenser,256 L Digital Inverter Technology Double Door Refrigerator RT30C3433S9,Home Appliances,Refrigerators,Double Door,"256 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt30C3433S9/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.","256 L Digital Inverter Technology Double Door Refrigerator RT30C3433S9 Home Appliances Refrigerators Double Door 256 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt30C3433S9/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.",0.027910404,0.011242472,0.03539434,-4.6677604,0.11001652,0.36092818,0.003803567,0.1245421245421245,Top 10 Lowest
3 door fridge with water dispenser,870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP,Home Appliances,Refrigerators,French Door,"Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.","870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP Home Appliances Refrigerators French Door Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.",0.029215433,0.014031985,0.05755161,-1.7665725,0.16154955,0.48478338,0.013707317,0.140495867768595,Top 10 Lowest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.",0.031951062,0.004759889,0.021994205,-4.5158825,0.09602826,0.42107055,0.003308928,0.1333333333333333,Top 10 Lowest
solo microwave ovens,"23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.","23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.",0.9609602,0.9821217,0.9430137,8.3209305,0.80086887,0.94895774,0.999337,0.091743119266055,Top 10 Highest
french door fridge,810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG,Home Appliances,Refrigerators,French Door,"Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.","810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG Home Appliances Refrigerators French Door Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.",0.9187471,0.979536,0.9600389,7.8594284,0.7710017,0.92247707,0.99855894,0.074074074074074,Top 10 Highest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
french door fridge,868 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF90A955387,Home Appliances,Refrigerators,French Door,"Buy 868L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India","868 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF90A955387 Home Appliances Refrigerators French Door Buy 868L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India",0.8955543,0.97943443,0.95764375,7.9267774,0.7607837,0.9189116,0.99787974,0.0743801652892562,Top 10 Highest
french door fridge,620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377,Home Appliances,Refrigerators,French Door,"Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.","620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377 Home Appliances Refrigerators French Door Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.",0.92696756,0.97577715,0.9630701,7.8239946,0.81038135,0.93959075,0.9981686,0.0786026200873362,Top 10 Highest
french door fridge,580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX,Home Appliances,Refrigerators,French Door,"Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.","580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX Home Appliances Refrigerators French Door Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.",0.9612679,0.97485006,0.9758877,8.019138,0.7825508,0.9366773,0.99894315,0.073469387755102,Top 10 Highest
french door fridge,650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL,Home Appliances,Refrigerators,French Door,"Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.","650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL Home Appliances Refrigerators French Door Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.",0.94597644,0.9744846,0.96774596,7.726576,0.79017156,0.9305814,0.99843615,0.0697674418604651,Top 10 Highest
french door fridge,809 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF71DB9950QD,Home Appliances,Refrigerators,French Door,"Buy 809L 4-Door Flex French Door Bespoke Family HubTM Refrigerator with AI Vision Inside, Auto Open Door, Triple Cooling. To Know more visit Samsung India.","809 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF71DB9950QD Home Appliances Refrigerators French Door Buy 809L 4-Door Flex French Door Bespoke Family HubTM Refrigerator with AI Vision Inside, Auto Open Door, Triple Cooling. To Know more visit Samsung India.",0.80394435,0.9737965,0.9307083,7.619379,0.7668231,0.92735916,0.99781394,0.0659340659340659,Top 10 Highest
french door fridge,550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9,Home Appliances,Refrigerators,French Door,"Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.","550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9 Home Appliances Refrigerators French Door Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.",0.9553566,0.97260284,0.9893506,7.872223,0.75218517,0.9392783,0.998735,0.0753138075313807,Top 10 Highest
french door fridge,870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP,Home Appliances,Refrigerators,French Door,"Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.","870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP Home Appliances Refrigerators French Door Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.",0.905998,0.9706468,0.8762006,7.7129974,0.80978054,0.93077224,0.99908936,0.0743801652892562,Top 10 Highest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1723RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit here.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1723RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit here.",0.036765356,0.004256153,0.020076469,-4.2301264,0.09818449,0.43847215,0.0030497075,0.1382113821138211,Top 10 Lowest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.",0.031951062,0.004759889,0.021994205,-4.5158825,0.09602826,0.42107055,0.003308928,0.1333333333333333,Top 10 Lowest
3 door fridge with water dispenser,223 L Stylish Grandé Design Single Door Refrigerator RR24D2Z23CU,Home Appliances,Refrigerators,One Door,"Buy 223L Horizontal Curve Design Single Door Refrigerator online blue. Avail exchange benefits, No Cost EMI, 10%Instant Bank Discount. To Know more visit here.","223 L Stylish Grandé Design Single Door Refrigerator RR24D2Z23CU Home Appliances Refrigerators One Door Buy 223L Horizontal Curve Design Single Door Refrigerator online blue. Avail exchange benefits, No Cost EMI, 10%Instant Bank Discount. To Know more visit here.",0.046222858,0.0049045375,0.02085961,-4.2300425,0.09442,0.37556005,0.0022207268,0.1292775665399239,Top 10 Lowest
3 door fridge with water dispenser,223 L Stylish Grandé Design Single Door Refrigerator RR24C2823S8,Home Appliances,Refrigerators,One Door,"Buy 223L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","223 L Stylish Grandé Design Single Door Refrigerator RR24C2823S8 Home Appliances Refrigerators One Door Buy 223L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.03910899,0.0075366334,0.028016578,-3.7774448,0.09403008,0.4018375,0.009113448,0.1302681992337164,Top 10 Lowest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20C1723S8,Home Appliances,Refrigerators,One Door,"Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20C1723S8 Home Appliances Refrigerators One Door Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.03736038,0.0075706076,0.0285655,-3.9729683,0.10467718,0.4678183,0.0067511033,0.1302681992337164,Top 10 Lowest
3 door fridge with water dispenser,223 L Stylish Grandé Design Single Door Refrigerator RR24C2723CR,Home Appliances,Refrigerators,One Door,"Buy 223L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","223 L Stylish Grandé Design Single Door Refrigerator RR24C2723CR Home Appliances Refrigerators One Door Buy 223L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.04062241,0.007606272,0.027902903,-3.6699262,0.09221153,0.3922469,0.010565284,0.1302681992337164,Top 10 Lowest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20C1823U8,Home Appliances,Refrigerators,One Door,"Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20C1823U8 Home Appliances Refrigerators One Door Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.03822855,0.00760696,0.027856113,-3.9563155,0.105615996,0.46240726,0.0074066273,0.1302681992337164,Top 10 Lowest
