query,name,category,sub_category,sub_genre,productDescription,all_text,scores_model_mxbai-rerank-xsmall-v1,scores_model_mxbai-rerank-large-v1,scores_model_mxbai-rerank-base-v1,scores_model_MiniLM,scores_model_jina-reranker-v1-turbo-en,scores_model_jina-reranker-v1-tiny-en,scores_model_bge-reranker-base,scores_flashrerank_zephyr7b,Score_Type
chargers,25W Travel Adaptor without Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.","25W Travel Adaptor without Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.",0.2531917,0.43901715,0.4690826,-10.710689,0.04476427,0.2450461,0.0009864682,0.0373831775700934,Top 10 Lowest
french door fridge,702 L Beverage Center French Door Refrigerator RF70A967FB1,Home Appliances,Refrigerators,French Door,"Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.","702 L Beverage Center French Door Refrigerator RF70A967FB1 Home Appliances Refrigerators French Door Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.",0.93688494,0.9685264,0.9488725,7.986796,0.7896348,0.9232953,0.99951625,0.0705882352941176,Top 10 Highest
solo microwave ovens,"23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.","23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.",0.9609602,0.9821217,0.9430137,8.3209305,0.80086887,0.94895774,0.999337,0.091743119266055,Top 10 Highest
solo microwave ovens,"20L Full Glass Door, Solo Microwave Oven, MS20A3010AL",Home Appliances,Microwave Ovens,Solo,"Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.","20L Full Glass Door, Solo Microwave Oven, MS20A3010AL Home Appliances Microwave Ovens Solo Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.",0.9216567,0.96256495,0.9219758,8.443484,0.7801122,0.95147794,0.9991725,0.0925925925925925,Top 10 Highest
french door fridge,870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP,Home Appliances,Refrigerators,French Door,"Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.","870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP Home Appliances Refrigerators French Door Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.",0.905998,0.9706468,0.8762006,7.7129974,0.80978054,0.93077224,0.99908936,0.0743801652892562,Top 10 Highest
french door fridge,693 L Digital Inverter Technology French Door Refrigerator RF60J9090SL,Home Appliances,Refrigerators,French Door,Buy 693L French Door Fridge RF60J9090SL with Digital Inverter Technology. Explore price & features of double door fridge at Samsung India.,693 L Digital Inverter Technology French Door Refrigerator RF60J9090SL Home Appliances Refrigerators French Door Buy 693L French Door Fridge RF60J9090SL with Digital Inverter Technology. Explore price & features of double door fridge at Samsung India.,0.89408654,0.9394182,0.94956785,7.247998,0.7070538,0.9205528,0.9990314,0.0717131474103585,Top 10 Highest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
french door fridge,580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX,Home Appliances,Refrigerators,French Door,"Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.","580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX Home Appliances Refrigerators French Door Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.",0.9612679,0.97485006,0.9758877,8.019138,0.7825508,0.9366773,0.99894315,0.073469387755102,Top 10 Highest
french door fridge,579 L Twin Cooling Plus™ French Door Refrigerator RF57A5232B1,Home Appliances,Refrigerators,French Door,"Buy 579L French Door Refrigerator Black RF57A5232B1 with Twin Cooling Plus™, Non Plumbing Water Dispenser. Know its price & Specs.","579 L Twin Cooling Plus™ French Door Refrigerator RF57A5232B1 Home Appliances Refrigerators French Door Buy 579L French Door Refrigerator Black RF57A5232B1 with Twin Cooling Plus™, Non Plumbing Water Dispenser. Know its price & Specs.",0.80421543,0.9573759,0.9645792,7.8336473,0.7351386,0.930667,0.998844,0.0769230769230769,Top 10 Highest
french door fridge,550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9,Home Appliances,Refrigerators,French Door,"Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.","550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9 Home Appliances Refrigerators French Door Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.",0.9553566,0.97260284,0.9893506,7.872223,0.75218517,0.9392783,0.998735,0.0753138075313807,Top 10 Highest
french door fridge,810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG,Home Appliances,Refrigerators,French Door,"Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.","810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG Home Appliances Refrigerators French Door Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.",0.9187471,0.979536,0.9600389,7.8594284,0.7710017,0.92247707,0.99855894,0.074074074074074,Top 10 Highest
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.15408817,0.014184296,0.034851033,-10.943682,0.026506212,0.21205056,4.985312e-05,0.031413612565445,Top 10 Lowest
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.15408815,0.01418429,0.034851033,-10.943682,0.026506212,0.21205057,4.9853163e-05,0.031413612565445,Top 10 Lowest
chargers,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.1344983,0.018984593,0.037118383,-11.115133,0.030870797,0.2302748,5.084617e-05,0.0418848167539267,Top 10 Lowest
chargers,SmartThings Dongle VG-STDB10A,TV,TV-Accessories,Dongle,SmartThings Dongle (VG-STDB10A/XL) - Explore the features & offers of this product. Know more and buy best TV-Accessories for you at Samsung India.,SmartThings Dongle VG-STDB10A TV TV-Accessories Dongle SmartThings Dongle (VG-STDB10A/XL) - Explore the features & offers of this product. Know more and buy best TV-Accessories for you at Samsung India.,0.30561987,0.017359853,0.039809093,-11.084015,0.03095094,0.22125737,0.0001213743,0.0396039603960396,Top 10 Lowest
chargers,Multiport Adapter,PC,PC Accessories,Adapter,"P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.","Multiport Adapter PC PC Accessories Adapter P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.",0.26363888,0.029667743,0.012436369,-10.842131,0.066645704,0.2781024,0.0005104547,0.0412371134020618,Top 10 Lowest
chargers,Cable (Type-C),Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Cable (Type-C) (Black) EP-DG930IBEGIN online. Learn all about Cable (Type-C) including prices, offers, specifications & shop from Samsung India.","Cable (Type-C) Mobile Mobile Accessories Adaptors and Cables Buy Samsung Cable (Type-C) (Black) EP-DG930IBEGIN online. Learn all about Cable (Type-C) including prices, offers, specifications & shop from Samsung India.",0.23874584,0.058629528,0.10946041,-10.752518,0.04993843,0.2771349,0.00072135444,0.0368663594470046,Top 10 Lowest
chargers,25W Travel Adaptor without Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.","25W Travel Adaptor without Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.",0.2531917,0.43901715,0.4690826,-10.710689,0.04476427,0.2450461,0.0009864682,0.0373831775700934,Top 10 Lowest
3 door fridge with water dispenser,215 L Horizontal Curve Design Single Door Refrigerator RR23D2H23BX,Home Appliances,Refrigerators,One Door,"Buy 215L Digi Touch Cool Single Door Refrigerator online black with Crown Door Design, Toughened Glass, LED Lamp. Know more features, price & specs visit here.","215 L Horizontal Curve Design Single Door Refrigerator RR23D2H23BX Home Appliances Refrigerators One Door Buy 215L Digi Touch Cool Single Door Refrigerator online black with Crown Door Design, Toughened Glass, LED Lamp. Know more features, price & specs visit here.",0.05143397,0.008085622,0.025403198,-3.361239,0.10163498,0.36759707,0.0009929895,0.1283018867924528,Top 10 Lowest
fridge with water dispenser,501 L Twin Cooling Plus™ Double Door Refrigerator RT54C655SSL,Home Appliances,Refrigerators,Double Door,"501 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt39C553Es8/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.","501 L Twin Cooling Plus™ Double Door Refrigerator RT54C655SSL Home Appliances Refrigerators Double Door 501 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt39C553Es8/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.",0.04024777,0.01577962,0.041442312,-8.285984,0.08719325,0.26602668,0.0020133455,0.1022727272727272,Top 10 Lowest
3 door fridge with water dispenser,223 L Stylish Grandé Design Single Door Refrigerator RR24D2Z23CU,Home Appliances,Refrigerators,One Door,"Buy 223L Horizontal Curve Design Single Door Refrigerator online blue. Avail exchange benefits, No Cost EMI, 10%Instant Bank Discount. To Know more visit here.","223 L Stylish Grandé Design Single Door Refrigerator RR24D2Z23CU Home Appliances Refrigerators One Door Buy 223L Horizontal Curve Design Single Door Refrigerator online blue. Avail exchange benefits, No Cost EMI, 10%Instant Bank Discount. To Know more visit here.",0.046222858,0.0049045375,0.02085961,-4.2300425,0.09442,0.37556005,0.0022207268,0.1292775665399239,Top 10 Lowest
3 door fridge with water dispenser,870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP,Home Appliances,Refrigerators,French Door,"Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.","870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP Home Appliances Refrigerators French Door Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.",0.029215433,0.014031985,0.05755161,-1.7665725,0.16154955,0.48478338,0.013707317,0.140495867768595,Top 10 Highest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1723RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit here.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1723RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit here.",0.036765356,0.004256153,0.020076469,-4.2301264,0.09818449,0.43847215,0.0030497075,0.1382113821138211,Top 10 Highest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.",0.031951062,0.004759889,0.021994205,-4.5158825,0.09602826,0.42107055,0.003308928,0.1333333333333333,Top 10 Highest
3 door fridge with water dispenser,322 L Twin Cooling Plus™ Double Door Refrigerator RT37C4523S8,Home Appliances,Refrigerators,Double Door,"Explore the benefits, features & offers of 322L Convertible 5in1 Double Door Refrigerator RT37C4523S8/HL Buy best Refrigerators for you at Samsung India.","322 L Twin Cooling Plus™ Double Door Refrigerator RT37C4523S8 Home Appliances Refrigerators Double Door Explore the benefits, features & offers of 322L Convertible 5in1 Double Door Refrigerator RT37C4523S8/HL Buy best Refrigerators for you at Samsung India.",0.025331322,0.013693631,0.03948129,-3.617762,0.11309198,0.36487255,0.0054313024,0.1322957198443579,Top 10 Highest
3 door fridge with water dispenser,224 L Curd Maestro™ Double Door Refrigerator RT28C3C32RZ,Home Appliances,Refrigerators,Double Door,"224 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt28C3C32Rz/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.","224 L Curd Maestro™ Double Door Refrigerator RT28C3C32RZ Home Appliances Refrigerators Double Door 224 L Double Door Refrigerator Online In Various Size, Colors & Designs At Best Prices Rt28C3C32Rz/Hl Explore Specs & Shop Best Refrigerators  At Samsung India.",0.026114225,0.01442665,0.028732626,-4.6175823,0.14528711,0.5003918,0.004992684,0.1312741312741312,Top 10 Highest
3 door fridge with water dispenser,301 L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1,Home Appliances,Refrigerators,Double Door,"Explore the benefits, features & offers of 301L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1/HL Buy best Refrigerators for you at Samsung India.","301 L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1 Home Appliances Refrigerators Double Door Explore the benefits, features & offers of 301L Twin Cooling Plus™ Double Door Refrigerator RT34C4523B1/HL Buy best Refrigerators for you at Samsung India.",0.025924874,0.01517246,0.031530198,-2.8757353,0.103301905,0.3562849,0.0031341445,0.1312741312741312,Top 10 Highest
3 door fridge with water dispenser,236 L Convertible Freezer Double Door Refrigerator RT28C3733S8,Home Appliances,Refrigerators,Double Door,"Explore the benefits, features & offers of 236L Convertible Freezer Double Door Refrigerator RT28C3733S8/HL Buy best Refrigerators for you at Samsung India.","236 L Convertible Freezer Double Door Refrigerator RT28C3733S8 Home Appliances Refrigerators Double Door Explore the benefits, features & offers of 236L Convertible Freezer Double Door Refrigerator RT28C3733S8/HL Buy best Refrigerators for you at Samsung India.",0.021901764,0.009026522,0.027019534,-4.566035,0.10625161,0.34845933,0.0048740716,0.1302681992337164,Top 10 Highest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20C1824CU,Home Appliances,Refrigerators,One Door,"Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20C1824CU Home Appliances Refrigerators One Door Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.038506635,0.0076661394,0.028619159,-3.8470411,0.10491924,0.46489716,0.008205172,0.1302681992337164,Top 10 Highest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20C1823U8,Home Appliances,Refrigerators,One Door,"Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20C1823U8 Home Appliances Refrigerators One Door Buy 183L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.03822855,0.00760696,0.027856113,-3.9563155,0.105615996,0.46240726,0.0074066273,0.1302681992337164,Top 10 Highest
3 door fridge with water dispenser,223 L Stylish Grandé Design Single Door Refrigerator RR24C2723CR,Home Appliances,Refrigerators,One Door,"Buy 223L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.","223 L Stylish Grandé Design Single Door Refrigerator RR24C2723CR Home Appliances Refrigerators One Door Buy 223L Single Door Fridge with Stylish Grande Design. Explore the features, price, specs, offers of this product & buy best Refrigerators at Samsung India.",0.04062241,0.007606272,0.027902903,-3.6699262,0.09221153,0.3922469,0.010565284,0.1302681992337164,Top 10 Highest
straps,Galaxy S21 FE 5G Slim Strap Cover,Mobile,Mobile Accessories,Cases,"Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.","Galaxy S21 FE 5G Slim Strap Cover Mobile Mobile Accessories Cases Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.",0.31353137,0.03973556,0.092889614,1.301117,0.24335285,0.65060186,0.33295974,0.025531914893617,Top 10 Lowest
straps,Galaxy A53 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy A53 5G Silicone Cover with Strap (EF-GA536TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy A53 5G Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy A53 5G Silicone Cover with Strap (EF-GA536TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",0.39377084,0.05587255,0.106317595,1.9963517,0.3186307,0.69651085,0.70453936,0.025531914893617,Top 10 Lowest
straps,Galaxy S21 FE 5G Slim Strap Cover,Mobile,Mobile Accessories,Cases,"Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.","Galaxy S21 FE 5G Slim Strap Cover Mobile Mobile Accessories Cases Galaxy S21 FE 5G Slim Strap Black Cover (EF-XG990CBEGIN) - Explore the benefits, features & offers of this product. Know more & buy accessories for you at Samsung India.",0.31353137,0.03973556,0.092889614,1.301117,0.24335285,0.65060186,0.33295974,0.025531914893617,Top 10 Lowest
straps,Galaxy A53 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy A53 5G Silicone Cover with Strap (EF-GA536TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy A53 5G Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy A53 5G Silicone Cover with Strap (EF-GA536TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",0.39377084,0.05587255,0.106317595,1.9963517,0.3186307,0.69651085,0.70453936,0.025531914893617,Top 10 Lowest
straps,Galaxy S21 FE 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,S21 FE 5G Silicone Cover with Navy Strap (EF-GG990TNEGIN) - Explore the specification & offers of this product. Know more about Samsung mobile cover online.,Galaxy S21 FE 5G Silicone Cover with Strap Mobile Mobile Accessories Cases S21 FE 5G Silicone Cover with Navy Strap (EF-GG990TNEGIN) - Explore the specification & offers of this product. Know more about Samsung mobile cover online.,0.35883397,0.0566826,0.10147894,1.0268344,0.26947537,0.6455315,0.3691696,0.0259740259740259,Top 10 Lowest
straps,Galaxy S22+ Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy S22+ Silicone Cover with Strap (EF-GS906TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy S22+ Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy S22+ Silicone Cover with Strap (EF-GS906TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",0.40544322,0.06426004,0.08717009,1.7562859,0.29014134,0.68041736,0.5999747,0.0259740259740259,Top 10 Lowest
straps,Galaxy S21 FE 5G Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,S21 FE 5G Silicone Cover with Navy Strap (EF-GG990TNEGIN) - Explore the specification & offers of this product. Know more about Samsung mobile cover online.,Galaxy S21 FE 5G Silicone Cover with Strap Mobile Mobile Accessories Cases S21 FE 5G Silicone Cover with Navy Strap (EF-GG990TNEGIN) - Explore the specification & offers of this product. Know more about Samsung mobile cover online.,0.35883397,0.0566826,0.10147894,1.0268344,0.26947537,0.6455315,0.3691696,0.0259740259740259,Top 10 Lowest
straps,Galaxy S22+ Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy S22+ Silicone Cover with Strap (EF-GS906TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy S22+ Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy S22+ Silicone Cover with Strap (EF-GS906TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",0.40544322,0.06426004,0.08717009,1.7562859,0.29014134,0.68041736,0.5999747,0.0259740259740259,Top 10 Lowest
straps,Galaxy S22 Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy S22 Silicone Cover with Strap (EF-GS901TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy S22 Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy S22 Silicone Cover with Strap (EF-GS901TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",0.4091003,0.06462531,0.086818546,1.8379664,0.2794256,0.6793086,0.6065256,0.0262008733624454,Top 10 Lowest
straps,Galaxy S22 Silicone Cover with Strap,Mobile,Mobile Accessories,Cases,"Galaxy S22 Silicone Cover with Strap (EF-GS901TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","Galaxy S22 Silicone Cover with Strap Mobile Mobile Accessories Cases Galaxy S22 Silicone Cover with Strap (EF-GS901TNEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",0.4091003,0.06462531,0.086818546,1.8379664,0.2794256,0.6793086,0.6065256,0.0262008733624454,Top 10 Lowest
